date,channelGrouping,users,newUsers,percentNewSessions,sessions,bounces,bounceRate,sessionDuration,avgSessionDuration,pageviews,pageviewsPerSession
20180110,Referral,156138,81367,44.76937721,181747,51900,28.55617974,2.60E+07,142.9886381,1207412,6.643366878
20180110,Social,62708,18683,26.23906296,71203,18419,25.86829207,9635189,135.3199865,340688,4.784742216
20180111,(Other),10,1,9.090909091,11,3,27.27272727,1570,142.7272727,49,4.454545455
20180111,Direct,157083,67552,38.77841561,174200,41246,23.67738232,2.37E+07,135.7665786,1098747,6.30738806
20180111,Organic Search,31656,16265,44.80222565,36304,8509,23.43818863,5772102,158.9935544,198513,5.468075143
20180111,Paid Search,13,11,84.61538462,13,3,23.07692308,539,41.46153846,39,3
20180111,Referral,153675,65221,36.50667488,178655,38781,21.70720103,2.82E+07,158.1052419,1248607,6.988928382
20180111,Social,60507,16192,23.95266272,67600,16115,23.8387574,9269677,137.1253994,322753,4.774452663
20180112,(Other),15,0,0,15,5,33.33333333,2102,140.1333333,120,8
20180112,Direct,166571,78944,42.5909341,185354,46320,24.9900191,2.43E+07,131.0708914,1223332,6.599976262
20180112,Organic Search,36337,19573,47.09349887,41562,9355,22.50854146,6508240,156.5911169,249532,6.00384967
20180112,Paid Search,21,20,90.90909091,22,8,36.36363636,1566,71.18181818,74,3.363636364
20180112,Referral,157853,70588,38.59756564,182882,42898,23.45665511,2.78E+07,151.9454785,1331932,7.28301309
20180112,Social,54855,13900,22.7384263,61130,12592,20.59872403,7868639,128.7197612,315361,5.158858171
20180113,(Other),12,0,0,14,1,7.142857143,2619,187.0714286,91,6.5
20180113,Direct,129364,48296,33.24568046,145270,32712,22.5180698,2.15E+07,147.928003,1043721,7.18469746
20180113,Organic Search,35091,18304,44.65806231,40987,8611,21.00910045,6726718,164.1183302,262984,6.416278332
20180113,Paid Search,59,54,90,60,19,31.66666667,13631,227.1833333,446,7.433333333
20180113,Referral,100838,26054,21.07280933,123638,26811,21.68508064,2.11E+07,170.5633058,955033,7.724429383
20180113,Social,52204,13059,22.02972385,59279,10628,17.92877748,8215847,138.5962482,329383,5.55648712
20180114,(Other),20,0,0,23,10,43.47826087,1842,80.08695652,90,3.913043478
20180114,Direct,179432,61250,29.4041401,208304,45203,21.70049543,3.06E+07,147.0471762,1347388,6.468373147
20180114,Organic Search,38686,17839,38.68708117,46111,9652,20.93209863,7343688,159.2610874,279626,6.064192926
20180114,Paid Search,38,35,87.5,40,13,32.5,4821,120.525,190,4.75
20180114,Referral,149498,37609,20.02683806,187793,39050,20.79417231,3.20E+07,170.6416746,1324867,7.054932825
20180114,Social,62883,16657,23.715083,70238,13999,19.93080669,9368296,133.3793103,358765,5.107847604
20180115,(Other),15,2,11.76470588,17,2,11.76470588,5706,335.6470588,121,7.117647059
20180115,Direct,175171,68339,34.92921032,195650,46387,23.70917455,2.81E+07,143.8640532,1211909,6.194270381
20180115,Organic Search,36436,17214,40.60480257,42394,9154,21.59267821,6819426,160.8582818,248530,5.862386187
20180115,Paid Search,35,34,91.89189189,37,13,35.13513514,9629,260.2432432,343,9.27027027
20180115,Referral,175681,58549,27.96677366,209352,46352,22.14070083,3.44E+07,164.5333171,1378526,6.584728113
20180115,Social,47804,12028,22.22427524,54121,10278,18.99077992,7337776,135.580939,282121,5.212782469
20180116,(Other),20,0,0,24,4,16.66666667,7601,316.7083333,211,8.791666667
20180116,Direct,177116,67730,33.68059872,201095,50366,25.04587384,3.12E+07,155.3958776,1388369,6.904045352
20180116,Organic Search,40276,19540,41.01423114,47642,10718,22.49695647,8473370,177.8550439,294020,6.171445363
20180116,Paid Search,1,0,0,3,1,33.33333333,336,112,9,3
20180116,Referral,151454,43486,23.35245092,186216,45061,24.1982429,3.31E+07,177.8004361,1355590,7.279664476
20180116,Social,71443,16656,19.59921396,84983,18906,22.2468023,1.25E+07,146.5714202,414929,4.882494146
20180117,(Other),15,0,0,18,5,27.77777778,4450,247.2222222,88,4.888888889
20180117,Direct,158448,55155,30.30594415,181994,44646,24.53157796,2.81E+07,154.6176028,1096804,6.026594283
20180117,Organic Search,39577,19253,41.12922176,46811,10670,22.79378778,8167039,174.4683728,263995,5.639593258
20180117,Referral,154858,46456,24.48170828,189758,45111,23.77291076,3.31E+07,174.6015926,1235887,6.51296388
20180117,Social,55732,13083,20.82915413,62811,13367,21.28130423,9080289,144.5652672,313597,4.992708284
20180118,(Other),15,0,0,18,4,22.22222222,2551,141.7222222,170,9.444444444
20180118,Direct,149493,60654,36.90201685,164365,42243,25.70072704,2.70E+07,164.1795455,952505,5.795059775
20180118,Organic Search,37600,19700,45.4513993,43343,9791,22.58957617,7354114,169.6724731,238844,5.510555338
20180118,Referral,139586,49823,29.71651129,167661,41154,24.54595881,3.14E+07,187.1319031,1053589,6.284043397
20180118,Social,54459,12676,20.49110102,61861,15131,24.45967572,8992948,145.3734663,278195,4.497098333
20180119,(Other),13,1,5.555555556,18,2,11.11111111,4124,229.1111111,126,7
20180119,Direct,145948,59907,36.65763081,163423,41861,25.61512149,2.29E+07,140.3253704,886579,5.425056449
20180119,Organic Search,36625,18670,44.14024635,42297,9876,23.3491737,6783861,160.3863395,225249,5.32541315
20180119,Paid Search,2,1,50,2,2,100,0,0,2,1
20180119,Referral,131241,43694,28.15008569,155218,37495,24.15634785,2.47E+07,159.1668428,893948,5.759306266
20180119,Social,42941,9809,20.30050291,48319,9736,20.14942362,6542659,135.4055134,242969,5.028436019
20180120,(Other),11,1,8.333333333,12,1,8.333333333,3029,252.4166667,110,9.166666667
20180120,Direct,129342,43504,30.18637505,144118,43923,30.47710904,2.15E+07,149.0110049,756143,5.246693682
